preprocessed_text,label_sentiment
tni umum waras kecuali wereng coklatkenapa gitu yah masa sih sejarah buruk harus ulang kembali rem bgt danjen kopassus fpi itu ormas besar dan suka bantu berantas kemahsiatan yang harus bubar ormas preman yang suka beking kemahsiatan dan suka bikin resah masyarakat,positif
sebar gambar dua piagam yang nyata jika aksi 212 dapat harga dari rekor dunia,netral
demo neo pki hari ini udah dapat ijin dari buntel kentut maaf ralat dari petinggi polisi tinggal tunggu gendering perang tabuh aja,negatif
mana ria saya pancasila mu oleh dr abdul muti med sekum pp muhamadyah,negatif
kabar gembira dan istimewa vietnam korban covid 19 tidak ada yng matiberita super obat virus covid 19 sudah capai informasi dari negara vietnam virus covid 19 tidak sebab mati nyata resep sangat sederhana tapi sangat ampuh hanya 1 teh2 lemonminumlah teh panas telah di campur peras lemondapat segera bunuh virus covid 19dan dapat sepenuh hilang virus covid 19 dari tubuh2 bahan ini buat sistem kebal tubuh jadi sifat basa karena ketika malam tiba sistem tubuh jadi asam mampu detensif juga akan kurang itu sebab orang vietnam santai saja dengan sebar virus covid 19 di vietnam rata2 semua orang minum gelas air panas dengan sedikit lemon di malam hari karena telah bukti bunuh virus covid 19 cara total bagi resep sakti ini kepada siapa untuk buru pahala resep sederhana ini sangat efektif karena tidak akan infeksi virus covid 19 atas izin tuhan ymeselamat coba,positif
dua orang infeksi virus corona di parepare waspada ki semua tidak main main ini,positif
jangan pernah remeh the simpsons the simpsons 1993 corona virus dari china,negatif
viral indonesia bubar ini video merry riana yang asli tonton sampai habis,positif
video ada akhir jayapura mau ke bandara saja sampai 3 hari dan kawal marinir evakuasi semua yg bau jawa hancur,negatif
truk semi kontainer paslon 01 ini kirakira bawa apa,netral
kami caleg partai gerindra dan pks tolak khilafah indonesia damai tolak khilafah di wilayah purwakarta baris muda muslim purwakarta,positif
rombong aniessandi tilang dan tak milik izin patwal di puncak bogor,netral
tusuk gigi sebar hiv aids,netral
laku bom kampung melayu adalah anggota polisi,negatif
pembubabaran aji ustad khalid basalamah oleh banser nu,netral
foto helikoptertank pertama di dunia buat turki dan pakistan,netral
video yang tunjuk anak muslim yang siksa oleh budha di myanmar,netral
foto rusuh demo anti trump di amerika serikat,negatif
celaka maut di air terjun uluk til belu ntt,negatif
gubernur jakarta anies baswedan dapat harga baik di seluruh dunia dalam tangan covid19,positif
kabar kini jumlah polisi india telah tiba di indonesia untuk tertib masyarakat yg tdk mau tinggal di rumahsiapkan pantat dan minyak gosok,netral
military vehicles arrived in manhattannew york wuhan coronavirus,netral
manusia yg gk punya nilai dn kuwalitas gk pantas mnjdi apa di negeri ini,positif
asosiasi guru bahasa dan sastra indonesia kecam anies baswedan lihai tata kata untuk bodoh warga jakarta,negatif
polisi tembak saksi yang tidak trima rekap pleno kpu,netral
hubung dengan rekrutmen calon karyawan pada pt pindad untuk wilayah kerja liput region sulawesi,netral
maradona bantah kabar diri tinggal usai laga argentina vs nigeria pada piala dunia 2018,netral
bahaya makan rambutan sambil minum teh manis sebab sumbat salur napas,netral
sisa video demo yang jarah warung di jakarta 4 november malam di share biar tahu laku,positif
milik 51 saham taxi express oleh usaha dan bakal cagub sandiaga uno,positif
perintah rencana impor beras 1 juta ton indonesia gagal swasembada,negatif
masih kah percaya dengan tvtidak ada satupunmedia tv siar demo tolak uu hip utama orang desa yang jauh dari jangkau mereka hanya percaya sama tv padahal tv sudah di boking rezim yang berkuasaayo rakyat buka mata dan pikiranisu covid 19 hanya pengalihanini bentuk bodoh sdm,positif
mana ucap bela sungkawa presiden kepada dr dan team medis yg gugur medan covid19 tidak ada sama sekali,negatif
gereja minta di azankanmrk yakin krn dasar riset corona ga aktif bila di dengar azan atau alquranmashaallah,negatif
in america there has been looting everywhere for fear of the corona virus,negatif
maskapai tebang turki lari diri dari tabrak yang rencana oleh teroris dengan tanker bahan bakar ahli pilot dan putus yang ambil dalam sekian detik selamat 380 tumpang ini sebut mukjizat teroris dan khilafah harus out dari nkri,negatif
belum lama ini edar di media sosial surat edar yang mengatasnamakan bank indonesia bi yang isi panggil wawancara calon pegawai bi dapat pasti hoaks,negatif
subahanallah astagfirullah halazim allah hu akbar3 x sudah begitu sadis nya cara pikir politik pdip untuk negri ini,netral
jokowi jual indonesia,netral
lsf klarifikasi kait potong 7 menit durasi film avengers infinity war,negatif
gubernur papu lukas enembe kalau non muslim tidak boleh jadi gubernur dki atau presiden indonesia maka biar papua melanesia merdeka,netral
assalamualaikum wr wb temen2 spesialisjust infobeberapa rumah sakit paksa tutup karena karyawan positif,negatif
info bumn warga negara australia nama antonius reiner haryanto angkat jadi direktur transformasi bisnis holding rumah sakit bumn pertamedika ini pertama kali warga negara asing jadi direksi di bumn indonesia mohon bantu sebar info ini tolakwnajadidireksibumn,negatif
busuk rs bokap gw sakit apa di diagnosa nya covid inti yg tinggal di rs langsung di vonis covid angka mati covid yg tingkat mungkin bukan karena covid lai data asal dari rs,negatif
keren yahmobil sitaanmasih bisa keluarmaha benar lembaga suci,positif
sabar ya mrk tengah usaha benerin,positif
ahok ganti maruf amin,netral
siapsiap komsumsi garam impor dari china,netral
info sangat penting,positif
media online media daring,positif
logo bank indonesia pecah ratus ribu dapat pada bendera tentara komunis,negatif
upa vidio yang jelas jika biskuit crispy crackers kandung lilin karena sangat mudah bakar,positif
produsen rokok phillip morris mulai jual jenis rokok yang gandung ganja atau marijuana produk ini pasar dengan jenis marlboro m dan sedia di outlet khusus yang lisensi di negara bagi colorado dan wshington dc,positif
5g antenna inside of your masks,netral
pks tolak apa sandiwara,netral
kata jaga jarak mutusin matarantai eh kok konser malah rame dan doi datang lagi aduhpiye iki piye toh,negatif
bilah sekarang,netral
jadi yg mau beli,netral
istana resmi pki boleh di indonesia,positif
ayo temanteman mahasiswa usir para tumpang gelap ini dari baris kalian,negatif
departemen madam bakar rrc china siap bantu saudara dekat yaitu indonesia madam bakar hutan untuk kurang kabut asap,netral
posko lawan bangkit pki di daerah glodok,negatif
cek tangkap layar,netral
dan bersih,positif
kwik kian gie,netral
saya dan staf di bkd papua tidak pernah minta uang untuk janji jatah dalam terima cpns,netral
save palestina,positif
di halim perdanakusuma tangkap tka tiongkok dlm proyek kereta api cepat bdg jkt,positif
rencana batas kendara dasar pelat nomor ganjilgenap di tol jakartacikampek akan uji coba pada selasa 2282017 uji coba sistem sebut hanya laku pada pagi hari,positif
ythseluruh anggota grup sesuai instruksi gubernur dki jakarta hasil rapat tim gugus tugas covid 19 dki jakarta sbb,positif
kpd teman2 banser para cebong cepat tobat sblm ajal datang dadak seperti ini,positif
jembatan darurat yg bangun dlm waktu 24 jam akibat jalan tutup oleh tanah longsor telah jadi angin topan di jepang bbrp hari ini 24 jam saudarasaudara,negatif
israel larang nelayan palestina laut tapi allah kirim ikan ke pantai palestina maha benar allah dengan segala firman ya,positif
bukan hoak tauini nyata di shoot tv one cuma bisa bhs cina,negatif
auto ngakak,netral
biar rakyat taukalo rezim ini di pimpin yang sekarang akan di sahkan undang2 lgbt nikah antar jenislaki nikah sama lakiwanita nikah sama wanitamakanya musibah akan terus datang hampir kita semua,netral
demokrat iklan jokowi di bioskop ganggu hak konsumen,negatif
iklan lowong kerja hamil istri lurah di gorontalo hadiah rp 10 juta,positif
dpt kirim dr grup wa hoax atau bukan yaa,negatif
raja bahrain tiba di dubai dengan awal robot yang lengkap dengan kamera untuk lacak 360 derajat dan lengkap pistol teknologi gerak sangat cepat dari belum dalam sejarah,positif
pidato di temu g20 jepang jokowi pidato hanya 60 detik alias satu menit jadi tertawa orang2 jepang,positif
hebat curang kpu dan rezim pki jokowi ini,negatif
info baru pesawat pribadi pak prabowo tdk dapat ijin untuk darat di bandara samsudinnoor bjrmasinutk hadir haul guru kumpul hr inisungguh terlalu rezim inipdahal bukan utk kampanye,netral
kenapa rakyat tak berontak,netral
ada apa dgn rezim ini dl masjid istiqlal buka luas utk umat muslim maupun non muslim yg ingin ibadah maupun wisata dr daerah2 maupun dr luar tp skrg pintu pagar masjid mulai batas umat utk msk kedlm masjid,positif
informasi buat warga malang selatan harap keluar rumah pukul 22302359 nanti malam karena bmkg sudah keluar rilis akan jadi gempa akibat imbas dari gempa banjarnegara hanya terus pesan demi selamat sama,negatif
bahaya makan kepala ikan karena kandung racun ciguatoksin,negatif
tolak ustadz abdul somad di hongkong rupa pesan lbp,netral
foto tos edisi i love israel ada di buah supermarket daerah jakarta pusat,positif
agar publik melek politik sejarah ada yg tahu siapa lakilaki di tengah soekarno dan jend soedirman saat itu saat itu beliau adalah ayahanda habieb risziq shihab berita ini sengaja di tutup sejarah oleh compeni perintah jajah saat itu ykni belanda karena khawatir umat islam satu,negatif
biadab banget laku mereka sama jenazah muslim,positif
innalillahi wa innaillaihi roojiuun ide alquran nusantara sdh mulai realisasi astagfirullah,netral
jangan beli minum seperti nata de coco ini bahaya seperti plastic tdk larut dalam perut,negatif
pabrik exstasi di grrebeg di tasikmalaya laku seeeemua cinamasih sekongkol dg cina,positif
jadi di bandung aseng mulai pake no seri mobil china,negatif
apa kyai kita aku bahwa kubu mereka curang ya,negatif
derita gila akibat pilpres tingkat tajam di sumbar,positif
korban pasien celaka yang ga pny bpjs sehat atau bpjs ketenagakerjaan,negatif
gawattt terb0ngkar kenapa c1n pk ingin beli semua tanah strategi indonesia,netral
munir tewas bunuh satu bulan telah wawancara di stasiun televisi swasta itu jadi,netral
smg manfaat nomor porsi haji reguler tahun 2018 sd tahun 2030,positif
keluarga mnunggu anda,netral
gedung tri akan jual,netral
modus cabul dan bius oleh amen di angkut kota purwakarta,negatif
juang fpi tahun 1940 lawan jajah dari belanda subhanallah,negatif
wapres sebut idul adha tak harus makna dengan sembelih qurban,netral
nama prof had pranoto sulit sekali di cari di internet ada tapi sedikit sekali padahal sejak bulan mei beliau sudah temu antibodi covid 19 ini dan sekarang antibodi covid 19 ini sudah bukti sembuh banyak orang wisma atlet pun dapat pasok obat ini dan pasien bukti sembuh,negatif
gera si kadrun harus di hentikankami siap tunggu komandomerdeka,positif
china lapor kremasi mayat cara rahasia karena jumlah pasien virus korona lonjak lewat 7000 virus itu kini telah infeksi lebih banyak orang di china daripada sars,negatif
tlong jngn trlalu prcyg sm jual bkso yg selalu pindh2 sm yg dpngr jln cbk klian lihat ni tryta ad yg pngn irit gk mau bli dging jdi dia critkus pngr jln ting sbrkn ni bg ady,netral
info kn bt keluarga cinta anda,positif
fakta 2014 lalu jokowi tidak di wakil suara tuhan suara rakyat sehingga jadi presiden dengan curang,negatif
fakta dana kampanye jokowi,netral
arseto pariadji serah diri ke polisi,netral
menteri uang menkeu sri mulyani yang olah berita oleh buah media massa milik 1200 bitcoin,netral
arti saracen yang pakai sindikat sebar benci,negatif
menyedihkanindonesia sbg negara mayoritas muslim besar di dunia tdk ikut dlm koalisi tentara islam dunia saing nato nya kafirpdhl 34 negara sdh gabung masuk malaysia di dalamnyamemalukan,positif
ada apa benar dengan negeri ini sungguh ironis,positif
ada yg bisa jelas ttg enzim rn ase yg dapat di tangan hasil oleh apa dan apakah efektif membunub bakteri yg dapat dalam makan,positif
wearing a mask causes legionnaires disease,netral
solusi banjir itu mudah tinggal tunggu musim kemarau,negatif
kait juga dengan koreksi belum di berita kembang informasi empat ton telur bansos pemprov jabar busuk di gudang simpan bulog garut httpsbitly2wwv877 tim redaksi dan periksa fakta mafindo mohon maaf atas ketidaknyamanan yang timbul lengkap di bagi jelas dan referensi,negatif
maka dari itu perintah kerja sama dengan seluruh provider indonesia bagi kuota besar 10gb agar kita semua tetap komunikasi,positif
assalamualaikum informasi laksana psbb batas sosial skala besar akan mulai pada hari rabu tgl 23 april 2020,positif
presiden china umum virus corona telah jadi epidemi dan mohon kepada umat islam doa china aljazeera,negatif
walikota ini janji buah jembatan di sungai dia datang lagi untuk kampanye pilih masa jabat baru lihat bagaimana publik sambut,netral
gunung soputan,netral
didit prabowo akan nikah para gay,netral
asman justru ban,negatif
penting literasi media,positif
kronologis insiden rso 1 palangkaraya,netral
5g antenna inside of your masks,netral
jokowi mo pamitpak sby rakyat senang bila anda mundur sekarang sebab kalo lebih lama negeri ini bakal karasilahkan kembali ke solomungkin bisa lanjut proyek esemka yg fenomenal itumonggo,negatif
islam jangan liberal,netral
tadi siang saya temu dan diberitahu tetangga ruslan buton di baubau bhw la gode yang bunuh bukan tani tetapi preman di halmahera yg sangat resah masyarakat dia bunuh ketka serang asrama tni itu sebab ruslan buton dkk dapat apresiasi warga,negatif
google 21st birthday offer google is celebrating its 21st birthday by giving 100gb 4g free data to all users,positif
taman moroseneng mem surab ya,netral
perhati kepada warga indonesia supaya tanggal 21 sampai akhir bulan desember supaya senantiasa waspada karena akan ada bencana yang akan timpa negara indonesia hal ini telah sampai oleh anggota bmkg supaya selalu berhatihati,netral
mahasiswa harus harga dosen selaku orang tua tapi ini malah pukul dosen selaku orang tuasemoga mahasiswa sebut beri hidayah dan bisa minta maaf dengan dosen sebut,negatif
lebih baik kita tidak usah dapat bantu apa dari perintah daripada tiap lembaga atau aum yang kita milik harus buat badan hukum sendirisendiri,positif
koplak kompas tv demo tolak hip ga siar gilir demo pdip mereka live,netral
ciduk anjing pki yang kotor masjid,negatif
di muara karang belakang superindo ada jadi bunuh encim2 yang bunuh rampok tapi skrg laku sdh tangkap encim tukang bakmi di pasar muara karang,positif
alhamdulillah jendral purnawirawan kivlan zein dan soenarko bebas hari ini,netral
bukan antem sama orang apa lagi sama pacar,netral
cyclopia juga cyclocephaly atau synophthalmia adalah bentuk langka dari holoprosencephaly,positif
jangan minum air es lampau banyak ingat bahwa anda saat ini sudah mulai batuk dan pilek,netral
panas pilih gubernur dki jakarta banyak muncul spekulasi yang ujung pada hasut maupun fitnah seperti salah satu akun guna facebook ini yang nilai bahwa ada curang yang laku oleh pihak it dari kpu yang mati server se,negatif
us government funded insect spy drone and already in production,netral
total kadrun idiot,negatif
hukum ajar ilmu filsafat,positif
kenal all jakarta water park,netral
after lockdown maradona atau yang jika terjemah ke bahasa indonesia telah lockdown maradona,netral
hatihati lampung sudah masuk zona merah,netral
risalah rapat angkat menteri bantu presiden dalam kabinet kerja jilid ii periode 2019 2024,netral
manajemen citilink indonesia pasti selamat dan aman tiap terbang,positif
edar surat yang risi perintah data tenaga medis dan non medis rumah sakit 2018,negatif
coba cek kode warna register pd pasta gigi anda letak ada ujung tengah pasta gigi,netral
punya wenang apa si mantan jendral yang sengak ini,netral
jne bagibagi telepon genggam samsung s7,netral
cara ini buat anda bisa cegah berita bohong atau hoax sebar lebih luas dengan tahu asli dari suatu situs berita,positif
di manado sudah edar bendera pki bagaimana tindak perintah apa masih larang aparat untuk tidak lebih organisasi lambang palu arit ini,negatif
bisnis jual fanpage,netral
innalillahi wainnaillaihi rojiunkorban gowes pake masker td pagi belakang citragrand an kollautt didik hari prasetyosemoga amal ibadahnx terima allah swt,netral
operasi simpatik 2020 larang bonceng untuk putus rantai covid19 yg langgar kena tilang bagen surat2 komplit ngakak njirr,netral
akun twitter resmi menteri didik dan budaya menujuindonesiamaju akun kelola oleh admin,positif
ada di kota wuhan china saat ini makin cekam orang teriak gak karuan,negatif
dwayne the rock johnson tinggal dunia di usia yang ke47 tahun telah gagal laku aksi,negatif
29 tokoh dukung capres 02 kena motif siapa saja mereka,positif
ythirjoko widodo anda presiden pertama dan akhir prestasi di dunia hasil runtuh masjid bukan bangun masjid hahahaha jokowijokowi,negatif
kami bukan merah putih,netral
markas indonesia ajar yg harus bebas dari penting politik jadi basecamp oleh anies di pilkada dki,positif
lowong kerja komisi berantas korupsi kpk indonesia,negatif
info resmi dari polda diy ada modus baru tindak kriminal yang beri nama jogya yess,positif
korban virus corona,negatif
gereja bergamo italia hari ini moga semua orang italia istirahat dengan tenang,positif
uk mau di shariah kan oleh kaum ungsi suriahmereka tampung dulu karna rasa manusia oleh kaum mayoritas kristen disanatapi lihat sekarang apa yg jadi,netral
informasiuntuk tenaga honorer guru dan tenaga administrasi sekarang sudah ada bijak yang beri pemerintahmenindak lanjut rekomend dari mempan rb ke bkn pusat bagi honorer umur 35 tahun keatasuntuk diankat jadi pnstanpa tes dasar kouta kosong di daerah masingmasingdan penuh persyrtan yang telah tentu lebih jelas silah konpirmasi lansung dengan drs muhiqbalbagian ada dan pangkat pns bkn pusat no wa081953388478,positif
kalau kita beli aqua arti kita sumbang misionaris kristen,negatif
kuwait recorded 63 temperature world record on earth on saturday said newspaper al qabas see the level of destruction caused due to it recordhightemperature,negatif
mari rapat gera kita hingga akhir juni 26 27 28 juni prabowo subianto sandiaga salahuddin uno presiden dan wakil presiden ri 2019 2024,positif
anda telah pilih untuk ambil bagi dalam survei singkat kami dan dapat 20 gb koneksi internet gratis lama 60 hari,negatif
menteri luar negeri klarifikasi tidak ada anakanak wni yang tahan australia,netral
impor 5000 senjata api oleh polri,negatif
info lowong kerja puskesmas margadana,netral
wearing a mask can cause pleurisy,netral
benar ada negara dalam negara pantai indah kapok mau masuk pakai sepeda harus punya pasport benar ini fokusstopruuhip fokusstopruuhip,positif
stasiun televisi nasional metrotv aku bahwa anies baswedan bukan gubernur dki jakarta lain presiden ri hal sebut lihat dari teks headline berita judul presiden tinjau kesiap normal baru di program selamat pagi indonesia padahal di situ adalah gambar anies baswedan yang sedang wawancara,positif
muncul video matahari terbit lebih dari satu yang klaim jadi di pulau riau,netral
baru saja jadi bincang hangat di kalang intelijen dua orang anggota mossad israel tangkap kamera cctv di sulawesi agen ini duga sedang latih kelompok teroris palsu yang juga sedang latih oleh brimob infovalid,negatif
info baru nihsdh masuk para imigran guna nama indonesia jagankrikawan,netral
polisi buru ormas yang jadi dalang berita hoaks soal serang ulama,netral
perintah akan ngutang lagi untuk bayar bunga utang,positif
mohon info nya apakah benar foto inimasjid di daanmogot ini bangun dengan bentuk salib besar,positif
cara selamat diri saat ada dalam lift apabila lift terjun tak kendali,positif
hatihati orang iseng tempel sticker pki di belakang mobil,netral
muncul bara api di yaman,negatif
batas untuk orang usia 50 tahun ke atas di era new normal a larang masuk mal atau ke pasar b larang makan di restoran atau kafe,negatif
biasa kadrun nyomot foto buat bikin hoax,negatif
akibat salah gaul koalisi antara kaum ayam dan kaum doro,negatif
peta sebar covid19 wilayah situbondo,netral
wfh singkat dari working from home alias kerja di rumah see,positif
ahh pakde bisa ajahmau dong pakde kaos presiden,netral
inalilahiwainairojiun telah tinggal dunia bpk wiranto selamat jln bpk wiranto,positif
seru tum psi habis nyoblos makan babi samasama,positif
kece daftar pilih,netral
benar saya tidak mau umbar aib orang ya saya tahu itu dosa,negatif
nah ini baru demo mahasiswa bro bukan yang demo bayar 40 rb bem ri tegas akan henti calon jokowi di pilpres 2019 aliansi ini nilai jika kondisi negara indonesia makin prihatin 2019gantipresiden,positif
sedang viral oknum brimob dan salah orang sipir densus lempar alquran dan juga kitabkitab hadist,negatif
136034jpg,netral
umat budha di indonesia sebut hanya diam lihat keras yang timpa suku rohingya di myanmar,negatif
